"";"D. execució";"D. valor";"Concepte";"Import";"Saldo"
"";"31/03/2022";"31/03/2022";"COMPRA TARJETA DEBITO/CREDITO JENINA FERRUS BELLES TJ*0011";"-15,00";"1.910,29"
"";"31/03/2022";"31/03/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-13,58";"1.925,29"
"";"31/03/2022";"31/03/2022";"LIQUIDACION AHORRO/CTA COR";"0,00";"1.938,87"
"";"30/03/2022";"30/03/2022";"COMPRA TARJETA DEBITO/CREDITO CAL CUINER TJ*0011";"-30,00";"1.938,87"
"";"30/03/2022";"30/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-20,47";"1.968,87"
"";"29/03/2022";"29/03/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-13,65";"1.989,34"
"";"29/03/2022";"29/03/2022";"ANULACION TARJETA DEBITO";"13,65";"2.002,99"
"";"29/03/2022";"29/03/2022";"COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011";"-13,65";"1.989,34"
"";"29/03/2022";"29/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-26,86";"2.002,99"
"";"29/03/2022";"29/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-15,44";"2.029,85"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO MES MERCAT SL TJ*0011";"-9,46";"2.045,29"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.054,75"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011";"-10,70";"2.055,10"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,85";"2.065,80"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.066,65"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-12,25";"2.067,00"
"";"28/03/2022";"28/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-13,60";"2.079,25"
"";"26/03/2022";"26/03/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-6,05";"2.092,85"
"";"26/03/2022";"26/03/2022";"COMPRA TARJETA DEBITO/CREDITO LA PANERA DEL PA IGUALADA TJ*5783";"-7,22";"2.098,90"
"";"25/03/2022";"25/03/2022";"COMPRA TARJETA DEBITO/CREDITO GUISSONA T533 TJ*0011";"-25,52";"2.106,12"
"";"25/03/2022";"25/03/2022";"COMPRA TARJETA DEBITO/CREDITO IKEA HOSPITALET HFB TJ*0011";"-1.863,10";"2.131,64"
"";"25/03/2022";"23/03/2022";"COMPRA TARJETA DEBITO/CREDITO SHOUTCA.ST* STRMR-2147 TJ*5783";"-179,04";"3.994,74"
"";"25/03/2022";"25/03/2022";"TRANSF DE MARTA PARDOS MAS TRASPAS";"1.700,00";"4.173,78"
"";"23/03/2022";"23/03/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-109,67";"2.473,78"
"";"22/03/2022";"22/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"2.583,45"
"";"22/03/2022";"22/03/2022";"RETIRADA EFECTIVO TARJETA DEBITO";"-300,00";"2.583,80"
"";"21/03/2022";"21/03/2022";"COMPRA TARJETA DEBITO/CREDITO GLOBAL SALUT 2017 SCP TJ*0011";"-45,00";"2.883,80"
"";"19/03/2022";"19/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-3,60";"2.928,80"
"";"18/03/2022";"18/03/2022";"RECIBO PayPal (Europe) S.a r.l. et Cie, S.C.A.";"-48,61";"2.932,40"
"";"16/03/2022";"16/03/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-22,52";"2.981,01"
"";"16/03/2022";"16/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-37,70";"3.003,53"
"";"16/03/2022";"16/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-43,50";"3.041,23"
"";"16/03/2022";"16/03/2022";"COMPRA TARJETA DEBITO/CREDITO NOMINALIA TJ*5783";"-30,49";"3.084,73"
"";"15/03/2022";"15/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"3.115,22"
"";"15/03/2022";"15/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,75";"3.115,57"
"";"15/03/2022";"15/03/2022";"COMPRA TARJETA DEBITO/CREDITO ESCLATOIL PIERA TJ*0011";"-50,00";"3.116,32"
"";"14/03/2022";"14/03/2022";"COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*5783";"-7,50";"3.166,32"
"";"14/03/2022";"14/03/2022";"COMPRA TARJETA DEBITO/CREDITO CAL PASSANALS TJ*5783";"-32,15";"3.173,82"
"";"14/03/2022";"14/03/2022";"COMPRA TARJETA DEBITO/CREDITO CONDIS LIFE -CAPELLADES TJ*0011";"-26,60";"3.205,97"
"";"14/03/2022";"14/03/2022";"RECIBO SIMYO";"-12,00";"3.232,57"
"";"14/03/2022";"14/03/2022";"RECIBO SIMYO";"-10,00";"3.244,57"
"";"11/03/2022";"11/03/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-45,41";"3.254,57"
"";"10/03/2022";"10/03/2022";"COMPRA TARJETA DEBITO/CREDITO TALLERS PIERA SCP TJ*0011";"-349,21";"3.299,98"
"";"09/03/2022";"09/03/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-2,10";"3.649,19"
"";"08/03/2022";"08/03/2022";"COMPRA TARJETA DEBITO/CREDITO CLINICA DENTAL CAPITAN TJ*0011";"-75,00";"3.651,29"
"";"08/03/2022";"08/03/2022";"COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011";"-10,97";"3.726,29"
"";"08/03/2022";"08/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-15,88";"3.737,26"
"";"08/03/2022";"08/03/2022";"COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011";"-47,70";"3.753,14"
"";"07/03/2022";"07/03/2022";"COMPRA TARJETA DEBITO/CREDITO IKEA HOSPITALET HFB TJ*0011";"-120,75";"3.800,84"
"";"07/03/2022";"07/03/2022";"COMPRA TARJETA DEBITO/CREDITO IKEA HOSPITALET FOOD TJ*0011";"-8,45";"3.921,59"
"";"07/03/2022";"07/03/2022";"RECIBO ANA MARIA POVEDA NAVARRO";"-200,00";"3.930,04"
"";"05/03/2022";"05/03/2022";"COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011";"-81,29";"4.130,04"
"";"04/03/2022";"04/03/2022";"COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011";"-58,60";"4.211,33"
"";"04/03/2022";"02/03/2022";"COMPRA TARJETA DEBITO/CREDITO Strato TJ*5783";"-9,02";"4.269,93"
"";"04/03/2022";"04/03/2022";"RECIBO IGUANA COMUNICACIONS S.L.";"-33,90";"4.278,95"
"";"04/03/2022";"04/03/2022";"RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN";"-37,23";"4.312,85"
"";"03/03/2022";"03/03/2022";"RETIRADA EFECTIVO TARJETA DEBITO";"-300,00";"4.350,08"
"";"03/03/2022";"03/03/2022";"COMPRA TARJETA DEBITO/CREDITO MERCADONA MERCAT GINEUETA TJ*5783";"-5,29";"4.650,08"
"";"03/03/2022";"03/03/2022";"RECIBO PIJUAN";"-38,00";"4.655,37"
"";"01/03/2022";"01/03/2022";"COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011";"-0,35";"4.693,37"
"";"01/03/2022";"01/03/2022";"RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.";"-109,67";"4.693,72"
"";"01/03/2022";"01/03/2022";"TRANSFERENCIA IGRID S.L. ABONO NOMINA 02/2022";"2.204,21";"4.803,39"
